Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Catch the moon,HD,-,P5,(En/Fr),Y,Y,Dexterity,,,https://boardgamegeek.com/boardgame/218129/catch-moon
Caution Signs,HE,9C,B3,,,,Party,,,https://boardgamegeek.com/boardgame/407805/caution-signs
Cave Paintings,,-,C5,,,,Party,,,https://boardgamegeek.com/boardgame/255712/cave-paintings
Caverna,,-,Fireplace,,,,Strategy,,,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers
Caverna: Cave vs Cave,-,-,J5,(En/Fr),,,Two Player,,,https://boardgamegeek.com/boardgame/220520/caverna-cave-vs-cave
Caylus,,-,Fireplace,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/18602/caylus
CDSK (On a Scale of 1-10) (French version is TTMC),JD,12D,-,(En/Fr),,,Trivia,,,https://boardgamegeek.com/boardgame/383789/cdsk
Celtica,,Top Shelf,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/21293/celtica
Centrix,,-,Counter,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/243297/centrix
Century: A New World,,-,N3,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/270970/century-new-world
Century: Eastern Wonders,,-,N3,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/242574/century-eastern-wonders
Century: Golem Edition,,-,N3,(En/Fr),,,Light Strategy,,same as spice road,https://boardgamegeek.com/boardgame/232832/century-golem-edition
Century: Spice Road,DE,5C,N3,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/209685/century-spice-road
Challengers,,8D,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/359970/challengers
Chameleon - Stones,Overflow,Overflow,Overflow,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/17576/chameleon
"Chameleon, The",HC,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/17576/chameleon
Champions of Midgard,,-,T5,,,,Strategy,,,https://boardgamegeek.com/boardgame/172287/champions-midgard
Channel A,,Overflow,Overflow,,,,Party,,,https://boardgamegeek.com/boardgame/134637/channel
Charty Party,,13D,-,,Y,,Adult,,,https://boardgamegeek.com/boardgame/278413/charty-party
Checkers,-,2A,counter,(En/Fr),,Y,Two Player,,,https://boardgamegeek.com/boardgame/2083/checkers
Cheers to the Governor,,-,Loft SG - 84,,,,Party,,,https://boardgamegeek.com/boardgame/404048/cheers-to-the-governor
Cheese Master,,Lvl1 SG - 53,,,,,Family,,,https://boardgamegeek.com/boardgame/368168/cheese-master
Chess,AA,2D,J2,(En/Fr),,Y,Two Player,,,https://boardgamegeek.com/boardgame/171/chess
Chez Geek,DE,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/553/chez-geek
Chicken Soup for the Soul,HD,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/15406/chicken-soup-for-the-soul
Chimera Station,,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/163642/chimera-station
China,,-,S1,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/18100/china
Chinatown,,-,S1,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/47/chinatown
Chinchiller Dice,,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/337834/chinchiller-dice
Chinese Checkers (Sternhalma),,-,Counter,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/2386/chinese-checkers
Chocolate Factory,Overflow,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/240567/chocolate-factory
Choose One!,Overflow,Overflow,Overflow,,Y,,Party,,,https://boardgamegeek.com/boardgame/145897/choose-one
Choose Your Own Adventure: House of Danger,AC,-,-,,,,Cooperative,,,https://boardgamegeek.com/boardgame/251420/choose-your-own-adventure-house-danger
Chroma Mix,-,Lvl 1 SG - 55,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/382241/chroma-mix
